class,precision,recall,f1,support
bottle-blue,0.7283950617283951,0.5673076923076923,0.6378378378378379,104
bottle-blue-full,0.6136363636363636,0.627906976744186,0.6206896551724138,43
bottle-blue5l,0.525,0.875,0.65625,72
bottle-blue5l-full,0.5277777777777778,0.7916666666666666,0.6333333333333333,24
bottle-dark,0.8461538461538461,0.9263157894736842,0.8844221105527639,95
bottle-dark-full,0.8333333333333334,0.7352941176470589,0.78125,34
bottle-green,0.8192771084337349,0.918918918918919,0.8662420382165605,74
bottle-green-full,0.8387096774193549,0.7647058823529411,0.8,34
bottle-milk,0.6,0.631578947368421,0.6153846153846154,57
bottle-milk-full,0.6666666666666666,0.7619047619047619,0.7111111111111111,21
bottle-multicolor,0.5,0.32142857142857145,0.391304347826087,28
bottle-multicolorv-full,0.52,0.6190476190476191,0.5652173913043478,21
bottle-oil,0.410958904109589,0.625,0.49586776859504134,48
bottle-oil-full,0.75,0.375,0.5,8
bottle-transp,0.803921568627451,0.5256410256410257,0.6356589147286822,234
bottle-transp-full,0.7435897435897436,0.6304347826086957,0.6823529411764706,92
bottle-yogurt,0.7,0.5,0.5833333333333334,42
canister,0.7931034482758621,0.7666666666666667,0.7796610169491526,30
cans,0.9302325581395349,0.8163265306122449,0.8695652173913043,98
detergent-box,0.9411764705882353,0.9411764705882353,0.9411764705882353,17
detergent-color,0.6521739130434783,0.6976744186046512,0.6741573033707865,43
detergent-transparent,0.5652173913043478,0.6341463414634146,0.5977011494252874,41
detergent-white,0.48333333333333334,0.6744186046511628,0.5631067961165048,43
glass-dark,0.9130434782608695,0.84,0.875,25
glass-green,0.8888888888888888,0.96,0.9230769230769231,25
glass-transp,0.6222222222222222,0.7777777777777778,0.691358024691358,36
juice-cardboard,0.6756756756756757,0.7352941176470589,0.704225352112676,68
milk-cardboard,0.7211538461538461,0.7978723404255319,0.7575757575757576,94
