class,precision,recall,f1,support
bottle-blue,0.7326732673267327,0.7115384615384616,0.7219512195121951,104
bottle-blue-full,0.7586206896551724,0.5116279069767442,0.6111111111111112,43
bottle-blue5l,0.7571428571428571,0.7361111111111112,0.7464788732394366,72
bottle-blue5l-full,0.8181818181818182,0.75,0.782608695652174,24
bottle-dark,0.8585858585858586,0.8947368421052632,0.8762886597938144,95
bottle-dark-full,0.8064516129032258,0.7352941176470589,0.7692307692307693,34
bottle-green,0.775,0.8378378378378378,0.8051948051948052,74
bottle-green-full,0.7105263157894737,0.7941176470588235,0.75,34
bottle-milk,0.6056338028169014,0.7543859649122807,0.671875,57
bottle-milk-full,0.6666666666666666,0.8571428571428571,0.75,21
bottle-multicolor,0.5769230769230769,0.5357142857142857,0.5555555555555556,28
bottle-multicolorv-full,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
bottle-oil,0.6666666666666666,0.16666666666666666,0.26666666666666666,48
bottle-oil-full,0.8333333333333334,0.625,0.7142857142857143,8
bottle-transp,0.6761565836298933,0.811965811965812,0.7378640776699029,234
bottle-transp-full,0.7070707070707071,0.7608695652173914,0.7329842931937173,92
bottle-yogurt,0.5609756097560976,0.5476190476190477,0.5542168674698795,42
canister,0.8846153846153846,0.7666666666666667,0.8214285714285714,30
cans,0.8823529411764706,0.9183673469387755,0.9,98
detergent-box,0.8888888888888888,0.9411764705882353,0.9142857142857143,17
detergent-color,0.7567567567567568,0.6511627906976745,0.7,43
detergent-transparent,0.7142857142857143,0.4878048780487805,0.5797101449275363,41
detergent-white,0.7142857142857143,0.5813953488372093,0.6410256410256411,43
glass-dark,0.9565217391304348,0.88,0.9166666666666666,25
glass-green,0.9523809523809523,0.8,0.8695652173913043,25
glass-transp,0.8055555555555556,0.8055555555555556,0.8055555555555556,36
juice-cardboard,0.6341463414634146,0.7647058823529411,0.6933333333333334,68
milk-cardboard,0.8426966292134831,0.7978723404255319,0.819672131147541,94
