class,precision,recall,f1,support
bottle-blue,0.7156862745098039,0.7019230769230769,0.7087378640776699,104
bottle-blue-full,0.71875,0.5348837209302325,0.6133333333333333,43
bottle-blue5l,0.7671232876712328,0.7777777777777778,0.7724137931034483,72
bottle-blue5l-full,0.8260869565217391,0.7916666666666666,0.8085106382978723,24
bottle-dark,0.9347826086956522,0.9052631578947369,0.9197860962566845,95
bottle-dark-full,0.7435897435897436,0.8529411764705882,0.7945205479452054,34
bottle-green,0.7848101265822784,0.8378378378378378,0.8104575163398693,74
bottle-green-full,0.6976744186046512,0.8823529411764706,0.7792207792207793,34
bottle-milk,0.7647058823529411,0.6842105263157895,0.7222222222222222,57
bottle-milk-full,0.68,0.8095238095238095,0.7391304347826086,21
bottle-multicolor,0.9230769230769231,0.42857142857142855,0.5853658536585366,28
bottle-multicolorv-full,0.64,0.7619047619047619,0.6956521739130435,21
bottle-oil,0.6666666666666666,0.375,0.48,48
bottle-oil-full,1.0,0.125,0.2222222222222222,8
bottle-transp,0.7018867924528301,0.7948717948717948,0.7454909819639278,234
bottle-transp-full,0.6666666666666666,0.7608695652173914,0.7106598984771574,92
bottle-yogurt,0.625,0.7142857142857143,0.6666666666666666,42
canister,0.8928571428571429,0.8333333333333334,0.8620689655172413,30
cans,0.8490566037735849,0.9183673469387755,0.8823529411764706,98
detergent-box,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
detergent-color,0.75,0.6976744186046512,0.7228915662650602,43
detergent-transparent,0.53125,0.4146341463414634,0.4657534246575342,41
detergent-white,0.7619047619047619,0.7441860465116279,0.7529411764705882,43
glass-dark,0.9523809523809523,0.8,0.8695652173913043,25
glass-green,0.9047619047619048,0.76,0.8260869565217391,25
glass-transp,0.8125,0.7222222222222222,0.7647058823529411,36
juice-cardboard,0.7101449275362319,0.7205882352941176,0.7153284671532847,68
milk-cardboard,0.79,0.8404255319148937,0.8144329896907216,94
